                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0448,                 1.7999,                0.63009,                0.92062,                0.53442,                0.42338,                  0.434,                0.21374,                0.43662,                0.34329,                0.33944,                0.15242,                 2.2411,                 2.8629,                 2.2972,                 1.5854,              0.0004432,              0.0004432,              0.0004432
                     73,                 1.0598,                 1.7781,                0.63734,                0.92618,                0.50237,                0.43673,                 0.4258,                0.21362,                0.41574,                0.33919,                0.33535,                0.14891,                 2.2464,                 2.8579,                 2.3003,                 1.5864,              0.0004424,              0.0004424,              0.0004424
                     74,                  1.047,                 1.7944,                0.63834,                0.92553,                0.48063,                0.44582,                 0.4235,                0.21292,                0.41077,                0.35107,                0.33953,                0.14683,                 2.2218,                 2.8512,                 2.2797,                 1.5634,              0.0004416,              0.0004416,              0.0004416
                     75,                 1.0399,                 1.7384,                 0.6273,                0.91914,                0.51156,                0.41646,                0.41844,                0.21186,                0.43364,                 0.3318,                0.32864,                0.14663,                 2.2715,                  2.867,                  2.376,                 1.5955,              0.0004408,              0.0004408,              0.0004408
                     76,                 1.0425,                 1.7673,                0.62715,                0.92377,                0.52618,                0.41583,                0.42226,                0.21565,                0.40963,                0.33791,                0.33563,                 0.1481,                 2.2485,                 2.8531,                 2.3075,                 1.5873,                0.00044,                0.00044,                0.00044
                     77,                  1.043,                 1.7345,                0.62151,                 0.9236,                0.51476,                0.43406,                0.42723,                0.21724,                0.40872,                 0.3397,                0.33282,                0.14919,                 2.2443,                 2.8517,                 2.2685,                 1.5839,              0.0004392,              0.0004392,              0.0004392
                     78,                 1.0471,                 1.7815,                0.62558,                0.92291,                0.57112,                0.40191,                0.43182,                0.21862,                0.45159,                0.32391,                0.32813,                0.14579,                  2.257,                 2.8551,                 2.3203,                 1.6072,              0.0004384,              0.0004384,              0.0004384
                     79,                 1.0379,                 1.7504,                 0.6266,                0.92321,                0.46929,                0.45233,                0.41974,                0.21255,                0.42462,                0.33538,                0.33548,                0.14632,                 2.2591,                 2.8654,                 2.2788,                  1.603,              0.0004376,              0.0004376,              0.0004376
                     80,                 1.0296,                 1.8079,                0.62037,                0.91066,                0.48476,                0.43724,                0.42048,                0.21377,                0.38574,                0.34135,                0.31929,                0.14206,                 2.2691,                 2.8683,                 2.3161,                 1.6142,              0.0004368,              0.0004368,              0.0004368
                     81,                 1.0308,                 1.7479,                0.62708,                0.91659,                0.49962,                0.45408,                0.42833,                0.22168,                0.40966,                0.36341,                0.34289,                0.14984,                 2.2505,                 2.8819,                  2.324,                 1.5804,               0.000436,               0.000436,               0.000436
                     82,                 1.0103,                 1.7943,                 0.6235,                0.91645,                0.49352,                0.44605,                0.42222,                 0.2188,                0.40477,                0.36114,                0.34661,                0.15255,                 2.2643,                 2.8724,                 2.2789,                 1.5904,              0.0004352,              0.0004352,              0.0004352
                     83,                 1.0209,                 1.7888,                0.61751,                 0.9162,                0.49521,                0.44173,                0.43248,                0.22365,                0.43066,                0.34438,                0.34842,                 0.1555,                 2.2543,                 2.8609,                 2.2744,                 1.5732,              0.0004344,              0.0004344,              0.0004344
                     84,                 1.0192,                 1.7413,                0.61071,                0.91193,                0.51349,                0.44143,                0.43801,                0.22252,                0.42356,                 0.3488,                0.34362,                0.15242,                  2.246,                 2.8342,                 2.3342,                 1.5746,              0.0004336,              0.0004336,              0.0004336
                     85,                 1.0178,                 1.7713,                0.61807,                0.91658,                0.52531,                0.43422,                0.43517,                0.21646,                0.41611,                0.35076,                0.33195,                0.15075,                 2.2546,                  2.846,                 2.2652,                 1.5882,              0.0004328,              0.0004328,              0.0004328
                     86,                 1.0224,                 1.7597,                0.60748,                 0.9148,                0.54034,                 0.4118,                0.42338,                0.21565,                0.45303,                0.32484,                0.33557,                0.14771,                 2.2439,                  2.888,                 2.3003,                 1.5461,               0.000432,               0.000432,               0.000432
                     87,                 1.0235,                 1.7927,                0.61731,                0.91612,                 0.5278,                0.42132,                0.42588,                0.22057,                0.42162,                0.34222,                0.33747,                0.15134,                 2.2425,                 2.9232,                 2.3343,                 1.5752,              0.0004312,              0.0004312,              0.0004312
                     88,                  1.036,                 1.7842,                0.62667,                0.91603,                0.49378,                0.45439,                0.43407,                0.22166,                 0.4523,                0.29989,                0.32644,                0.14582,                 2.2431,                 2.8971,                 2.2965,                 1.5697,              0.0004304,              0.0004304,              0.0004304
                     89,                 1.0125,                  1.732,                0.60008,                0.90624,                0.47175,                0.47018,                0.43254,                0.21894,                0.42009,                0.32669,                0.33401,                0.14832,                 2.2657,                 2.8839,                 2.2554,                 1.5968,              0.0004296,              0.0004296,              0.0004296
                     90,                 1.0012,                 1.7539,                0.60481,                0.91114,                 0.5006,                0.44122,                0.43139,                0.22092,                0.45123,                 0.3375,                0.34478,                0.15438,                 2.2402,                  2.893,                 2.3194,                 1.5813,              0.0004288,              0.0004288,              0.0004288
                     91,                 1.0285,                 1.8158,                0.61806,                0.91632,                0.53671,                0.42878,                0.43684,                0.22316,                0.41796,                0.34378,                0.34526,                0.15266,                 2.2513,                 2.8743,                 2.3086,                 1.5848,               0.000428,               0.000428,               0.000428
                     92,                 1.0254,                 1.8022,                0.61012,                0.91607,                0.51289,                0.42054,                0.42606,                0.22279,                0.44635,                0.32165,                0.33906,                0.15042,                 2.2254,                 2.8696,                  2.346,                 1.5938,              0.0004272,              0.0004272,              0.0004272
                     93,                 1.0283,                 1.7585,                0.61406,                0.91114,                0.49141,                0.45397,                0.42578,                 0.2161,                 0.4144,                0.33106,                0.33847,                0.15057,                 2.2626,                 2.9028,                  2.322,                 1.6038,              0.0004264,              0.0004264,              0.0004264
                     94,                 1.0255,                  1.794,                0.60728,                0.92215,                0.53343,                0.44446,                0.44037,                0.21683,                0.40952,                0.33322,                0.33558,                0.15031,                 2.2512,                 2.9117,                  2.329,                 1.5933,              0.0004256,              0.0004256,              0.0004256
                     95,                 1.0174,                  1.738,                0.61409,                0.91633,                0.49777,                0.43927,                0.42323,                0.21682,                0.42896,                0.34086,                0.34158,                0.15082,                 2.2621,                 2.8862,                 2.3531,                 1.6157,              0.0004248,              0.0004248,              0.0004248
                     96,                0.97639,                 1.7445,                0.59389,                0.90431,                0.50348,                0.43513,                0.42414,                0.21773,                0.41134,                0.34762,                0.33346,                0.14563,                 2.2729,                 2.8811,                 2.2468,                 1.5986,               0.000424,               0.000424,               0.000424
                     97,                0.99217,                 1.7591,                0.59115,                0.90394,                0.49198,                0.44143,                0.42951,                0.21948,                0.43474,                0.34448,                 0.3438,                  0.153,                 2.2627,                 2.9395,                 2.2847,                 1.5926,              0.0004232,              0.0004232,              0.0004232
                     98,                 1.0089,                 1.7543,                0.60732,                0.90889,                0.50869,                 0.4422,                0.43624,                0.22394,                0.44901,                0.33291,                0.34524,                0.15599,                 2.2624,                 2.8907,                 2.2831,                  1.592,              0.0004224,              0.0004224,              0.0004224
                     99,                0.99232,                 1.7122,                0.59313,                0.90946,                0.50305,                0.42945,                0.42545,                0.21252,                0.41334,                0.34016,                0.32706,                0.14546,                 2.2751,                 2.8969,                 2.3303,                 1.6046,              0.0004216,              0.0004216,              0.0004216
                    100,                0.97589,                 1.7292,                   0.58,                0.90153,                0.49175,                0.44685,                0.43328,                0.21775,                 0.4201,                0.34232,                0.33985,                0.15165,                 2.2652,                 2.9284,                 2.3451,                 1.6092,              0.0004208,              0.0004208,              0.0004208
